,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Tipo elemento,Otros Datos,Direcciones Web
0,2,5,,,,,,,,,,,,,,,,,,,,,,3,0,7:00,imessage
1,,2,,,,,,,,,,,,,,,,,,,,,,3,0,8:00,"facetime, messenger"
2,,,2,3,,,,,,,,,,,,,,,,,,,,,0,9:00,call
3,,,3,,,,,,,,,,,,,,,,,,,,,,0,10:00,call
4,,,,,3,3,,,,,,,,,,,,,,,,,,,0,11:00,None
5,,,,,,6,,,,,,,,,,,,,,,,,,,0,12:00,"imessage, snapchat, emailx2"
6,,,,,,,2,,,,,,,,,,,,,,,,,,0,13:00,None
7,,,,,,,,2,,,,,,,,,,,,,,,,,0,14:00,None
8,,,,,,,,,2,,,,,,,,,,,,,,,,0,15:00,None
9,,,,,,,,,,2,,,,,,,,,,,,,,,0,16:00,None
10,,,,,,,,,,,5,,,,,,,,,,,,,,0,17:00,email
11,,,,,,,,,,,3,5,2,,,,,,,,,,,,0,18:00,"messenger, email"
12,,,,,,,,,,,,,2,2,,,,,,,,,,,0,19:00,messenger
13,,,,,,,,,,,,,,,,,,,,,,,,,0,20:00,messenger
14,,,,,,,,,,,,,,,2,,,,,,,,,,0,21:00,None
15,,,,,,,,,,,,,,,,2,,,,,,,,,0,22:00,None
16,,,,,,,,,,,,,,,,,5,,,,,,,,0,23:00,None
17,,,,,,,,,,,,,,,,,3,5,1,,,,,,0,24:00:00,imessage
18,,,,,,,,,,,,,,,,,,,3,,,,,,0,1:00,None
19,,,,,,,,,,,,,,,,,,,,3,,,,,0,2:00,None
20,,,,,,,,,,,,,,,,,,,,,3,,,,0,3:00,None
21,,,,,,,,,,,,,,,,,,,,,,3,,,0,4:00,None
22,,,,,,,,,,,,,,,,,,,,,,,3,,0,5:00,None
23,,,,,,,,,,,,,,,,,,,,,,,,3,0,6:00,"league of legends, calls, imessage"
